id,Nival,Upper alpine,Lower alpine,Upper montane,Lower montane,Mountain with frost,Mountain without frost
Xuefeng Shan,0,0,0,0,635000,2440000,9370
Yalnizcam Daglari,0,0,0,8310,13500,0,0
Yamanlar Dagi,0,0,0,0,2780,421000,0
Yan Shan,0,0,0,0,88000,92700,0
Yanartas Daglari,0,0,0,0,9310,13700,40600
Yangming Shan,0,0,0,0,6010,252000,0
Yema Nanshan,0,0,23,0,0,0,0
Yema Shan,23,0,0,46,0,0,0
Yemeni Highlands,0,0,0,0,0,0,539000
Yemeni Mountains,0,0,0,0,369000,1460000,7580000
Yunkai Dashan,0,0,0,0,0,139,803000
Yunzhong Shan,0,0,0,0,75100,24,0
Yuzhno Muyskiy Khrebet,0,17,186,776,0,0,0
Yuzhnyy Anyuyskiy Khrebet,0,0,0,0,0,0,0
Zagros Mountains,0,0,0,0,1630000,1520000,228000
Zambales Mountains,0,0,0,0,0,0,82700
Zapadno-Skhalisnkiy Khrebet,0,0,0,3480,19,0,0
Zapadnyy Sayan,0,0,484,7010,14600,0,0
Zargun,0,0,0,0,3300,11800,0
Zeravshanskiy Khrebet,4130,5690,816,1700,58500,982,0
Zhangguangcai Ling,0,0,0,0,132000,195,0
Zhongtiao Shan,0,0,0,0,15000,55300,0
Zoulang Nanshan,23,140,610,1790,445,0,0
 ,0,0,0,0,0,0,0
AUSTRALIA,0,0,0,0,0,0,0
Blue Mountains,0,0,0,0,2990,251,0
